the_geom,OBJECTID,date no time,Month-num,Month,Helper,Year,Rainfall in mm,date_,country,nearest_pl,hazard_typ,landslide_,trigger,fatalities,injuries,location_a,landslide1,near,distance,State,,population,latitude,longitude
POINT (77.59140000000015 32.7334000000001),13,8/12/2007,8,Aug,Himachal Pradesh 2007,2007,234.3,08/12/2007 07:00:00 AM +0000,India,"Himachal Pradesh, all over",landslide,Landslide,Rain,11,0,Unknown,Medium,Kyelang,56.12845,Himachal Pradesh,,0,28.8254,96.1517
POINT (93.55000000000015 24.96670000000008),41,8/26/2007,8,Aug,Manipur 2007,2007,373.8,08/26/2007 07:00:00 AM +0000,India,Tamenglong,landslide,Mudslide,Continuous_rain,1,0,Known_within_5_km,Medium,Imphal,43.53546,Manipur,,0,28.8254,96.1509
POINT (93.43330000000012 24.75000000000008),44,10/21/2007,10,Oct,Assam 2007,2007,164.7,10/21/2007 07:00:00 AM +0000,India,National Highway 53 at Nungba in Tamenglong district of Manipur,landslide,Landslide,Rain,0,0,Known_within_15_km,Medium,Lakhipur,43.16287,Assam,,25000,33.303,77.8876
POINT (93.96670000000015 25.1333000000001),71,8/31/2007,8,Aug,Manipur 2007,2007,373.8,08/31/2007 07:00:00 AM +0000,India,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Imphal,36.09995,Manipur,,1495,32.2278,78.071
POINT (94.06910000000013 24.24510000000006),95,9/10/2007,9,Sep,Manipur 2007,2007,426.6,09/10/2007 07:00:00 AM +0000,India,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Kakching,29.41705,Manipur,,1495,32.219,78.072
POINT (93.98770000000016 25.060400000000097),105,9/8/2007,9,Sep,Manipur 2007,2007,426.6,09/08/2007 07:00:00 AM +0000,India,"Lower Shajouba village near Tadubi along NH 39, Manipur",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Imphal,28.2961,Manipur,,37475,34.1491,76.826
POINT (94.11620000000015 25.437900000000095),121,10/19/2007,10,Oct,Nagaland 2007,2007,180.5,10/19/2007 07:00:00 AM +0000,India,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur",landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Kohima,26.23523,Nagaland,,14927,28.4659,95.86
POINT (92.83390000000017 25.29460000000008),142,8/26/2007,8,Aug,Assam 2007,2007,308,08/26/2007 07:00:00 AM +0000,India,Shillong Road at Kuliang in the Jaintia Hills,landslide,Landslide,Rain,0,0,Unknown,Medium,Haflong,23.42741,Assam,,7121,27.4888,93.0153
POINT (93.91360000000012 25.74280000000007),167,8/28/2007,8,Aug,Nagaland 2007,2007,373.8,08/28/2007 07:00:00 AM +0000,India,Phesema area at National Highway 39,landslide,Landslide,Rain,1,0,Known_within_50_km,Medium,Kohima,21.1995,Nagaland,,14927,28.4298,95.8776
POINT (94.11920000000012 25.499300000000087),190,9/9/2007,9,Sep,Nagaland 2007,2007,426.6,09/09/2007 07:00:00 AM +0000,India,"Mao in Manipur, Phipema and Chunikhudima in Nagaland",landslide,Landslide,Rain,0,0,Known_within_25_km,Medium,Kohima,19.44563,Nagaland,,7121,27.7,92.8
POINT (91.88000000000014 25.380000000000077),193,7/26/2007,7,Jul,Meghalaya 2007,2007,682.7,07/26/2007 07:00:00 AM +0000,India,Singtam,landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Cherrapunji,19.36242,Meghalaya,,13893,27.8997,93.3497
POINT (74.33330000000014 33.87780000000007),221,3/19/2007,3,Mar,Kashmir 2007,2007,259.3,03/19/2007 07:00:00 AM +0000,India,Doba,landslide,Landslide,Rain,2,0,Known_within_25_km,Medium,Kupwara,18.10887,Kashmir,,0,27.8837,93.0515
POINT (88.28160000000017 27.287200000000066),266,9/18/2007,9,Sep,Sikkim 2007,2007,458.6,09/18/2007 07:00:00 AM +0000,India,Geyzing-Jorethang road and Naya Bazar-Legship road,landslide,Landslide,Rain,0,0,Known_within_50_km,Medium,Namchi,16.10912,Sikkim,,14182,32.7334,77.5914
POINT (78.20340000000012 11.77920000000007),282,10/25/2007,10,Oct,Tamil Nadu 2007,2007,248.9,10/25/2007 07:00:00 AM +0000,India,Salem - Yercaud ghat road,landslide,Landslide,Rain,1,0,Known_within_15_km,Medium,Salem,14.97909,Tamil Nadu,,223523,25.0985,94.3619
POINT (73.5189000000001 16.96480000000004),331,6/25/2007,6,Jun,Maharashtra 2007,2007,442.1,06/25/2007 07:00:00 AM +0000,India,Ratnagiri,landslide,Landslide,Rain,18,0,Known_within_15_km,Medium,Lanja,11.96851,Maharashtra,,0,28.9986,94.8885
POINT (88.61930000000015 27.445900000000076),332,4/11/2007,4,Apr,Sikkim 2007,2007,160.1,04/11/2007 07:00:00 AM +0000,India,"Sikkim, 13 km north of Gangtok",landslide,Landslide,Downpour,0,0,Known_within_5_km,Medium,Mangan,11.92749,Sikkim,,18425,28.611,94.9829
POINT (94.05640000000015 24.427900000000044),358,9/11/2007,9,Sep,Manipur 2007,2007,426.6,09/11/2007 07:00:00 AM +0000,India,"NH-39 at Imphal-Moreh section, Lokchao largest event",landslide,Landslide,Rain,3,0,Known_within_50_km,Medium,Kakching,10.89373,Manipur,,13838,34.3951,75.6233
